,80516,80416,80316,80216,80116,73116,73016,72916,72816,72716,72616,72516,72416,72316,72216,72116,72016,71916,71816,71716,71616,71516,71416,71316,71216,71116,71016,70916,70816,70716,70616,70516,70416,70316,70216,70116,63016,62916,62816,62716,62616,62516,62416,62316,62216,62116,62016,61916,61816
the simpsons,586542,-1,586372,586278,-1,-1,-1,585807,585339,-1,584933,584889,-1,-1,584649,584557,584479,584399,584303,-1,-1,584036,-1,583851,583691,583369,-1,-1,583072,-1,582868,582789,582717,582716,582599,-1,-1,-1,582206,582139,-1,-1,581816,581712,581600,581478,581346,-1,581093
hearthstone heroes of warcraft,1014208,-1,1012674,1011802,-1,-1,-1,1007169,1005794,-1,1002733,1001774,-1,-1,998266,996929,995493,994266,992555,-1,-1,986419,-1,973372,966552,965649,-1,-1,962881,-1,961401,960498,959600,959192,957950,-1,-1,-1,954372,953914,-1,-1,950862,950027,949091,948185,947152,-1,945257
hay day,7550411,-1,7542921,7540490,-1,-1,-1,7524878,7521765,-1,7515647,7513112,-1,-1,7502109,7498549,7494961,7492217,7488689,-1,-1,7477782,-1,7471503,7467691,7464096,-1,-1,7450854,-1,7443788,7439860,7435481,7433761,7426368,-1,-1,-1,7397557,7392895,-1,-1,7371536,7364846,7356037,7338820,7298763,-1,7293663
walking dead,351844,-1,351327,351161,-1,-1,-1,349534,348939,-1,348253,347872,-1,-1,345985,345562,345049,344370,342844,-1,-1,341566,-1,340729,340346,339993,-1,-1,338813,-1,338232,337905,337570,337426,336933,-1,-1,-1,335842,335672,-1,-1,334680,334388,333634,333065,332745,-1,332297
lords mobile,543037,-1,541679,540953,-1,-1,-1,537288,536462,-1,534597,533630,-1,-1,530519,528653,527755,527117,526230,-1,-1,523966,-1,522163,521023,520133,-1,-1,516627,-1,514385,513063,511878,511330,509899,-1,-1,-1,504567,503021,-1,-1,501908,501708,501550,501396,501160,-1,500897
doubledown casino,240589,-1,240408,240328,-1,-1,-1,239926,239842,-1,239645,239549,-1,-1,239201,239093,238998,238910,238790,-1,-1,238453,-1,238214,238092,237993,-1,-1,237632,-1,237483,237368,237228,237199,236999,-1,-1,-1,236447,236327,-1,-1,235909,235789,235640,235511,235358,-1,235163
candy crush jelly saga,740283,-1,738913,738143,-1,-1,-1,734259,733261,-1,731453,730688,-1,-1,726766,725873,724768,723859,722647,-1,-1,719431,-1,717248,716055,714912,-1,-1,709452,-1,707012,705891,704790,704216,702443,-1,-1,-1,697132,696265,-1,-1,691776,690646,689358,688194,687056,-1,685386
jackpot party fruit machines!,258178,-1,257577,257177,-1,-1,-1,255594,255302,-1,254586,254181,-1,-1,253014,252536,252081,251666,251031,-1,-1,249772,-1,248848,248371,247996,-1,-1,246619,-1,246035,245646,245235,245107,244389,-1,-1,-1,242140,241853,-1,-1,240816,240479,240112,239728,239301,-1,238597
bleach brave souls,65675,-1,65467,65342,-1,-1,-1,64793,64646,-1,64326,64187,-1,-1,63737,63615,63460,63361,63239,-1,-1,62668,-1,62005,61920,61797,-1,-1,61450,-1,61271,61145,61017,60995,60822,-1,-1,-1,60285,60036,-1,-1,59039,58963,58873,58788,58683,-1,58565
slots,31752,-1,31696,31667,-1,-1,-1,31470,31431,-1,31354,31317,-1,-1,31199,31150,31102,31050,30981,-1,-1,30814,-1,30705,30655,30605,-1,-1,30452,-1,30320,30227,30131,30111,29932,-1,-1,-1,29479,29437,-1,-1,29189,29112,29015,28924,28897,-1,226492
