,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
bigfishcasino,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,34,1,0,0,0,0,0,1,1,0,0,0,0,4,1,5,12,81,3,2,2,0,0,3
quickhitslotsfruitmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sevenknights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2
marvelavengersacademy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0
bingoblitz,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
slotsfreecasinohouseoffun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
scatterslots,0,0,2,3,1,0,0,0,0,10,1,1,0,5,3,0,1,1,0,0,2,0,0,3,0,4,1,2,0,0,5,0,0,0,0,2,9,2,2,0,0,0,0,3,1,0,0,0,0,0,16,0,0
farmheroessaga,10,11,8,13,8,8,8,7,9,9,7,10,10,10,13,13,12,12,13,11,13,13,12,15,12,9,10,9,5,4,5,4,0,0,0,16,14,12,12,14,14,31,7,0,0,0,0,0,0,0,0,0,0
lastempire-warz,1,2,3,0,4,1,1,3,3,2,1,1,3,1,3,1,1,1,1,0,1,2,4,4,3,1,1,1,3,2,1,0,0,0,0,1,3,1,1,0,0,1,1,0,1,2,5,1,0,2,9,2,0
cookiejam,0,1,0,2,10,9,0,1,0,2,0,1,0,0,0,1,0,1,1,0,3,0,0,1,1,0,0,2,1,1,1,0,0,0,0,4,1,1,0,0,0,0,2,2,2,10,2,1,4,2,1,3,1
