,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
empirez,1,2,3,0,4,1,1,3,4,2,1,2,3,1,3,1,1,1,1,0,1,2,4,4,3,3,3,1,3,2,1,0,0,0,0,1,4,5,1,0,0,2,1,1,1,2,5,1,0,2,9,2,0
realracing3,2,2,3,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,2,1,0,0,0,5,0,1,3,0,0,0,4,4,1,1,2,1,1,8,29,16,0
angrybirdsfriends,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1
roblox,7,8,10,12,9,12,11,8,8,5,7,9,6,8,6,7,8,4,8,4,8,3,6,7,7,6,8,7,8,7,12,5,0,0,0,3,11,13,7,12,7,9,11,6,5,9,4,9,1,2,5,6,5
slotshuuugecasino,0,0,0,0,3,9,0,0,0,3,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
genies&gems,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
wheeloffortunefreeplay,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
fantasywartactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
juicejam,0,3,0,0,1,0,1,0,29,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2
jurassicworld,0,0,1,0,10,0,6,4,2,1,0,3,1,1,1,0,1,0,0,0,3,2,4,4,0,1,0,2,2,4,6,10,0,0,0,1,2,1,5,8,2,2,1,0,2,0,0,2,1,2,2,0,2
crimecity,5,1,0,4,4,0,0,0,0,2,2,5,1,1,3,2,0,0,2,1,0,0,0,3,0,0,3,2,3,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
clashofqueens-coq,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0
onepiecetreasurecruise,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thetribez,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nonstopknight,0,0,0,0,0,2,1,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
lovelive!schoolidolfestival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cascade,1,0,1,1,1,8,2,3,1,2,1,2,6,2,2,3,0,3,1,2,7,2,3,1,4,2,3,4,1,3,3,1,0,0,0,0,4,0,3,2,1,1,1,4,3,3,1,3,3,4,4,2,0
toyblast,2,3,3,2,3,1,3,1,3,3,1,1,1,1,1,1,1,1,2,2,2,3,2,1,3,2,4,3,5,9,2,2,0,0,0,2,1,1,1,2,2,2,2,2,2,2,1,3,1,1,1,1,2
charmking,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
injustice,8,17,13,14,16,8,5,5,11,18,34,5,4,1,4,2,3,0,6,2,13,2,4,3,4,1,7,6,4,8,5,1,0,0,0,2,4,2,2,1,4,7,3,0,2,3,2,4,1,6,3,3,9
warofnations,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
thesecretsociety,0,2,3,0,0,1,0,0,2,0,2,3,7,2,2,0,2,1,1,0,4,1,3,3,1,0,2,1,2,0,2,1,0,0,0,2,5,1,0,1,1,2,0,0,1,3,1,0,1,0,1,1,2
falloutshelter,1,1,1,1,0,0,1,1,2,6,2,0,2,6,5,0,0,3,2,3,5,5,8,8,2,25,24,3,0,2,4,2,0,0,0,8,4,5,5,4,4,0,1,1,1,1,7,5,0,2,1,0,2
bestfiends,6,8,9,15,5,3,4,2,2,2,3,3,4,3,7,6,6,5,2,3,3,3,5,4,5,8,6,7,19,33,37,25,0,0,0,3,2,6,5,2,2,1,3,7,6,6,6,11,15,17,22,39,17
epicjackpotslotgames,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ninja,109,90,95,84,117,123,161,110,148,126,131,148,130,131,110,215,144,122,123,113,108,129,139,119,123,127,113,130,133,142,151,89,0,0,0,124,108,110,158,140,128,161,165,149,142,166,184,138,168,123,182,115,140
mortalkombatx,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,2,0,2,0,1,0,0,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,2,1
cutieriot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hotshotslotsfruitmachines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worldoftanksblitz,4,6,9,6,7,6,6,6,8,8,5,6,7,10,9,8,7,7,7,5,6,7,7,8,9,9,7,8,6,7,8,2,0,0,0,9,7,9,6,7,7,9,7,7,7,7,6,8,8,6,7,8,7
heroeschargehd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worldchef,1,2,1,2,0,0,0,0,0,0,1,1,1,0,0,2,1,0,4,2,2,2,2,1,1,3,3,2,7,3,3,3,0,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,2,0,1,0,0
dragons,26,25,25,19,40,21,31,24,32,17,24,37,23,22,12,11,8,14,14,7,8,10,11,16,20,7,13,5,17,22,19,14,0,0,0,22,15,25,41,29,24,39,27,22,31,32,32,62,30,27,46,32,31
mycafe,4,2,5,2,0,2,0,1,1,1,0,1,1,3,3,3,2,0,3,3,0,2,1,2,4,7,1,2,4,5,1,2,0,0,0,14,1,3,4,0,1,1,3,3,4,0,3,3,1,1,2,1,1
thehobbit,0,1,1,1,1,0,1,5,1,0,0,4,1,0,1,0,1,0,0,0,1,4,0,1,0,2,0,2,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0
wizardofoz,0,1,1,0,0,0,1,1,3,1,2,0,0,2,1,2,0,0,1,1,1,1,0,1,0,0,2,2,1,1,3,1,0,0,0,0,0,0,1,3,1,4,1,1,0,6,0,1,2,2,0,0,0
bloodbrothers2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
doubleup,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,1,0,0,1,2,3,4,0,0,0,0,1,8,2,0,0,0,0,9,0,0,0,0,1,1,0,1,0,1
needforspeednolimits,0,0,0,0,0,1,1,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,4,0,2,2,5,4,5,8,7,9,8,6,7,7,6,6,4
nhlsupercard,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
line,365,563,348,390,319,514,325,271,488,226,188,303,308,315,349,308,210,297,419,310,308,444,408,341,469,2536,3135,980,599,3446,214,135,0,0,1,347,249,177,258,413,370,429,737,425,209,256,346,483,389,314,312,232,408
maddennflmobile,0,0,0,2,14,5,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
racingrivals,0,3,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
soulseeker,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warofwarshippacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lineagewar-global3darpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
dragonmanialegends,0,1,0,0,1,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,36,0,0,2,3,5
nbalivemobile,10,6,9,11,7,13,5,4,9,6,9,9,8,9,6,8,12,14,18,8,27,11,18,18,12,19,24,29,34,54,55,18,0,0,0,15,0,1,0,1,0,1,0,6,3,6,14,11,0,0,5,1,1
ageofkings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0
clockmaker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pearlsperil,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
pixelgun3d,0,0,0,1,5,2,0,0,0,1,1,1,0,2,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,7,1,1,1,0,1,2,2,0,0,0,1,1,1,0,1
battlecamp,0,0,3,2,3,10,0,1,0,0,0,0,2,0,3,0,1,0,0,1,4,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
adventurecapitalist,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
killshotbravo,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,6,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
legionofheroes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empiresandallies,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texaspoker,3,1,2,1,0,5,1,4,1,1,2,1,1,0,0,0,2,1,1,0,5,1,1,1,2,7,5,1,3,6,1,1,0,0,1,4,1,2,1,3,0,0,5,0,3,2,2,1,1,0,3,34,2
solitairetripeaks,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shardsofmagic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bingopop,0,0,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,5,3,0,0,0,5,6,7,9,6,7,5,8,2,0,0,0,0,0,1,0,1,0
moviestarplanet,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1
angrybirdspopbubbleshooter,2,1,1,2,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
fallensouls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arcaneonline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wartune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topeleven,0,6,2,1,3,2,3,1,0,2,5,1,3,2,0,2,1,4,4,3,3,0,1,2,0,2,0,1,1,3,3,4,0,0,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1
ezpzrpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravediggers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
monopolybingo!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
evilbane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disneymagickingdoms,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,3,1,0,0,1,0,1,0,0,2,0,0,2,0
infinityslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,27,0,0,0,0,0,0,11,0,0
dragonblaze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
marchofempires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
csrclassics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
pokmonshufflemobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thebattlecats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
partyinmydorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
els,3,0,0,2,3,2,1,2,2,2,2,1,2,7,4,0,2,1,2,1,6,1,2,0,3,3,4,1,2,4,3,3,0,0,0,1,4,1,3,5,1,1,3,5,14,10,4,2,4,2,5,0,4
shopheroes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
talesoflink,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
dhtexaspoker,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellyblast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
galaxylegend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2
jackpotjoyslots,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clashfordawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonvale,0,2,0,1,1,3,3,2,1,6,2,1,2,0,3,1,2,6,5,5,2,1,3,8,6,6,7,7,6,6,6,4,0,0,0,3,5,9,9,7,6,6,6,2,8,2,8,6,10,2,4,4,0
mysingingmonsters,22,23,21,19,19,30,20,27,20,19,24,23,17,30,20,25,23,17,17,24,17,20,42,37,44,41,49,42,45,46,57,27,0,0,0,54,57,47,52,67,44,42,42,36,34,52,43,40,30,35,30,38,26
sugarsmash,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,3,1,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
vegaconflict,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
insideoutthoughtbubbles,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clashgrimm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pyramidsolitairesaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dungeonboss,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frozenfreefall,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,2,0,0,1,1,1,0,1,0,1,0,2
dreamgirlfriend,0,3,3,1,2,4,3,5,3,6,5,2,0,1,3,4,6,2,5,3,5,1,5,2,2,4,4,6,1,5,5,2,0,0,0,5,8,4,1,4,4,5,3,4,4,4,3,4,5,3,12,8,9
acefishing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotvegasfreeslotgamesapp!,0,0,0,0,1,0,2,8,5,0,7,3,2,6,0,1,0,1,0,1,0,1,0,0,1,1,3,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hungrysharkworld,0,0,1,1,1,2,2,2,2,3,4,4,4,4,6,4,3,3,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,3,3,3,3,4,2,6,3,1,0,2,1,1
csrracing,15,14,17,18,17,15,17,14,16,15,14,15,15,15,15,20,16,15,17,14,13,15,17,15,17,16,30,19,23,26,25,14,0,0,1,31,40,32,52,51,26,12,7,7,7,7,8,7,6,9,7,9,6
rivalkingdoms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
magic,165,160,233,101,163,154,207,192,203,149,197,182,170,198,165,1016,170,214,193,167,179,120,144,128,140,190,178,360,244,158,207,113,0,0,9,213,179,241,214,250,211,217,191,258,336,257,395,216,294,290,267,188,226
heavenstrikerivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
smurfsvillage,670,675,663,637,647,730,745,728,749,833,839,969,832,755,813,703,681,710,817,843,838,792,1453,1497,1476,1665,1466,1568,1585,1585,1752,1034,0,0,39,1628,1653,1596,1625,1909,1786,1738,1938,2040,1770,1819,2107,2154,2181,2275,2314,2100,2703
dungeonrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwar,1,3,3,1,4,2,2,3,4,3,1,3,3,2,3,3,1,3,1,0,1,2,4,5,3,2,1,1,3,2,1,0,0,0,0,1,3,1,1,0,0,1,1,0,2,3,5,1,0,2,10,2,0
pokerstarspoker,0,0,0,0,0,1,0,0,13,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,0,0,0
cookingdash2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1
bejeweledblitz,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slotgalaxy,0,0,0,0,11,1,1,1,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,1,0,1,0,0
hiddencitymystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plantsvs.zombies2,9,9,7,8,7,8,8,8,9,8,8,10,7,7,11,7,7,8,7,7,6,2,6,5,4,5,3,2,3,7,6,4,0,0,0,0,3,6,3,3,5,4,2,1,1,1,4,3,2,1,0,2,2
modernwarbygree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disneymagicaldice,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
ageofishtaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloonstd5,13,13,12,11,13,9,11,13,14,11,9,12,11,7,10,11,7,7,9,9,8,6,9,7,11,11,8,13,11,11,11,7,0,0,0,9,9,12,11,9,12,8,11,10,10,13,15,14,16,15,10,7,7
spellstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leagueofdefenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fafafa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,7,4,4,0,0
