,Aug 09,Aug 08,Aug 07,Aug 06,Aug 05,Aug 04,Aug 03,Aug 02,Aug 01,Jul 31,Jul 30,Jul 29,Jul 28,Jul 27,Jul 26,Jul 25,Jul 24,Jul 23,Jul 22,Jul 21,Jul 20,Jul 19,Jul 18,Jul 17,Jul 16,Jul 15,Jul 14,Jul 13,Jul 12,Jul 11,Jul 10,Jul 09,Jul 08,Jul 07,Jul 06,Jul 05,Jul 04,Jul 03,Jul 02,Jul 01,Jun 30,Jun 29,Jun 28,Jun 27,Jun 26,Jun 25,Jun 24,Jun 23,Jun 22,Jun 21,Jun 20,Jun 19,Jun 18
minecraft,65,82,92,73,119,90,95,146,95,72,112,98,89,68,99,117,92,124,102,100,98,100,93,81,90,117,98,118,91,125,75,0,0,0,25,112,135,159,93,89,89,97,102,111,96,139,129,94,105,121,123,80,169
herolegendhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloonstd5,12,13,12,11,13,9,11,13,14,11,9,12,11,7,10,11,7,7,9,9,8,6,9,7,11,11,8,13,11,11,11,7,0,0,0,8,9,12,11,9,12,8,11,10,10,13,15,14,16,15,12,7,7
geometrydash,19,19,21,20,20,24,20,18,20,18,17,17,23,15,17,14,11,12,14,14,14,13,16,14,13,18,15,16,20,18,16,8,0,0,0,16,14,38,21,19,18,15,18,20,20,20,29,19,22,18,15,28,20
terraria.,0,2,3,2,2,1,4,1,4,4,1,3,3,4,1,11,2,0,3,6,4,7,1,4,4,1,5,6,2,7,2,3,0,0,0,3,5,6,3,4,5,0,3,3,5,4,5,5,5,3,4,8,4
lifeline,6,5,6,3,13,7,8,1,1,7,6,2,5,3,3,4,1,4,5,4,4,1,6,3,2,5,6,2,2,7,2,0,0,0,3,6,12,15,21,43,10,9,6,7,4,2,4,7,2,4,7,4,9
thegameoflife,10,6,5,8,7,7,7,8,8,5,10,12,22,9,4,6,7,9,7,9,10,12,13,9,16,16,15,20,24,29,52,26,0,0,0,4,7,8,10,11,18,15,14,11,11,10,7,10,9,13,9,4,5
trueskate,6,7,8,8,11,10,12,8,14,11,13,9,14,10,9,6,7,7,10,10,8,8,9,9,8,5,7,13,9,12,10,6,0,0,0,7,5,4,7,28,83,8,8,8,9,9,8,6,10,8,10,9,9
scribblenautsremix,1,2,4,3,2,3,6,4,5,3,5,8,6,7,7,5,6,5,7,10,10,9,11,10,9,8,4,4,2,6,2,3,0,0,0,7,6,7,6,4,3,2,3,4,4,4,2,4,2,4,2,3,3
fivenightsatfreddys,10,11,10,13,13,13,11,11,9,12,10,14,16,13,13,10,11,14,13,13,13,13,15,15,17,9,8,17,14,17,19,26,0,0,0,15,11,17,15,17,15,16,13,12,15,13,16,12,13,13,15,18,11
skater,2,2,4,3,3,5,3,5,4,2,2,3,7,1,4,0,4,1,4,4,2,4,5,2,4,2,8,3,4,6,3,3,0,0,0,1,2,1,6,4,1,5,1,2,4,6,0,3,2,3,3,6,0
fivenightsatfreddys2,10,11,10,13,12,12,11,11,9,10,10,13,15,13,13,10,11,14,13,12,13,13,14,14,16,9,8,17,13,14,17,13,0,0,0,13,11,16,15,13,14,14,13,12,15,13,16,12,13,13,14,17,10
explodingkittens,0,1,0,7,3,1,0,0,2,1,1,0,3,1,0,0,3,3,3,3,0,0,1,1,0,1,1,3,2,0,2,1,0,0,0,0,1,1,2,1,0,0,0,0,2,0,2,1,0,7,2,5,5
theroomthree,2,4,7,3,3,3,6,3,4,3,2,3,3,4,7,5,3,2,3,3,5,5,2,2,3,4,4,7,4,4,5,3,0,0,0,5,5,5,4,7,2,4,4,6,2,5,2,4,4,4,4,5,5
cardwars,0,1,4,4,4,6,3,8,4,4,1,4,3,8,11,6,11,13,15,16,9,13,15,62,8,47,16,7,5,3,3,3,0,0,0,5,3,9,1,4,2,5,2,7,1,1,1,1,5,2,1,2,2
catan,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,2,2,4,0,2,0,0,0,0,1,2,1,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1
farmingpro2016,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,4,31,0,0,0,2,1,1,2,2,4,2,2,3,4,2,2,2,3,3,3,5,5
starknight,2,0,0,0,1,1,2,0,0,0,0,2,2,0,1,1,2,2,1,0,0,1,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,5,1,1,2,2,3,2,3,4,3
goatsimulatorwasteofspace,0,0,0,0,0,0,0,2,3,2,2,1,0,1,0,0,0,0,0,2,4,2,6,0,1,0,2,2,2,3,4,0,0,0,0,3,3,2,1,3,3,2,10,4,4,5,3,7,8,8,8,8,8
hitman,18,26,15,17,16,22,19,50,30,8,9,10,14,9,16,13,12,12,19,22,16,15,24,18,17,29,28,21,27,74,24,31,0,0,0,22,14,16,20,29,15,43,8,10,10,9,10,7,7,9,11,8,15
theroom,102,113,64,66,75,155,97,87,69,58,85,81,80,126,393,69,48,61,101,103,154,102,82,79,84,104,156,150,75,0,0,0,0,0,0,90,46,74,75,267,89,119,96,99,59,81,129,95,92,100,101,80,88
epsxeforandroid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
monopoly,11,19,18,14,17,17,17,18,20,15,18,20,25,16,24,21,16,18,14,15,20,16,22,18,15,17,20,26,30,14,18,14,0,0,0,21,21,23,20,26,29,20,16,18,17,23,36,18,16,21,14,15,14
neomonsters,8,12,11,11,13,12,15,11,16,10,8,11,12,12,16,18,12,12,16,11,11,15,11,10,10,11,12,12,10,12,12,4,0,0,0,9,7,6,5,6,8,6,5,5,4,4,5,8,7,5,5,3,6
nba2k16,6,5,6,5,5,8,7,5,5,7,6,7,9,9,12,15,5,4,6,3,3,5,6,4,5,6,6,8,9,8,8,2,0,0,0,6,5,6,5,4,4,4,6,13,6,3,6,8,7,7,6,8,6
amaranthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
theroomtwo,5,7,5,5,4,2,3,4,3,4,4,3,6,5,3,5,3,2,3,1,7,3,2,2,2,4,4,8,4,4,3,5,0,0,0,20,6,4,5,11,9,5,16,4,2,8,5,4,3,6,4,6,2
gamedevstory,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1
evocreo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
amidakujiknight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
grandtheftauto,25,29,30,22,21,29,32,18,27,26,27,31,29,21,28,29,21,29,24,26,27,43,59,36,35,56,39,30,38,35,9,0,0,0,5,34,23,27,28,44,45,45,42,43,49,43,47,54,52,47,44,44,50
assassinscreedidentity,3,4,4,5,3,4,4,3,3,6,4,5,8,5,4,4,4,4,3,6,4,4,4,4,3,7,7,7,11,7,7,5,0,0,0,6,12,8,11,13,1,2,4,3,4,4,5,7,3,4,2,6,5
fivenightsatfreddys4,1,2,2,3,1,2,2,2,2,2,3,2,4,3,2,2,2,3,2,4,3,2,4,3,4,2,2,4,4,6,5,5,0,0,0,4,2,4,4,5,3,4,4,4,4,4,3,2,4,5,3,4,2
surgeonsimulator,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,4,2,3,6,1,15,1,0,1,1,1
farmingsimulator16,7,8,6,7,8,7,8,12,8,7,7,6,6,6,6,5,6,6,6,7,5,6,5,7,4,5,3,6,5,5,5,4,0,0,0,6,6,4,6,7,8,5,7,8,5,3,6,6,6,6,7,9,8
riseofballoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dungeonsofchaos,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
brothers,22,24,27,21,29,44,71,0,0,0,0,23,28,29,47,22,32,242,12,21,43,26,30,35,53,32,47,78,59,77,52,17,0,0,0,16,24,18,24,57,24,37,23,19,27,34,35,30,38,73,69,57,50
thesims3,9,4,4,5,5,8,7,3,5,6,5,4,8,8,7,4,3,4,6,4,8,5,7,6,4,8,5,10,11,5,7,2,0,0,0,6,5,3,3,4,8,8,6,6,7,6,4,5,4,7,3,4,6
plantsvs.zombies,8,11,9,9,8,11,9,9,10,12,9,10,11,7,15,7,7,8,10,8,7,2,7,5,7,7,5,4,4,10,7,4,0,0,0,5,4,6,3,4,6,7,7,4,3,6,36,4,4,3,1,3,4
bridgeconstructor,3,5,5,5,5,6,4,3,2,3,6,6,5,5,6,7,4,2,4,3,3,3,6,4,2,4,4,6,4,5,6,1,0,0,0,4,5,5,5,8,5,5,10,8,8,7,6,6,7,9,10,7,5
motorsportmanager,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,5,5,4,0,0,0,3,2,1,1,1,0,0,0,0,0,2,3,3,3,9,3,3,4
goatsimulator,3,2,2,3,2,3,1,5,4,5,5,6,4,6,1,5,6,4,3,7,7,5,8,3,5,1,9,6,7,6,11,2,0,0,0,5,5,5,5,5,5,5,12,6,10,47,10,11,13,17,17,16,16
monumentvalley,11,9,10,10,14,13,12,10,8,9,9,11,8,9,7,11,8,8,10,9,8,9,12,9,9,9,13,14,15,13,9,9,0,0,0,8,9,6,7,7,8,9,10,8,7,6,7,9,11,10,9,8,9
myoldboy!,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kingdomrushorigins,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1,0,0,2,2,1,0,0,0,0,2,7,3,2,4,5,8,11,13,8,9,3,20,23,0,0,0,0
legomarvelsuperheroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legojurassicworld,0,0,0,0,8,0,2,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,7,0,1,1,0,1,0,0,1,0,0,0,0,0
constructionsimulator2014,2,0,0,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,5,0,3,0,2,0,1,1,3,0,0,0
callofdutyblack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realdriftcarracing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
kingdomrushfrontiers,0,0,1,1,0,0,0,1,0,1,2,1,0,2,0,8,2,1,0,2,2,1,0,1,1,1,1,2,1,3,1,1,0,0,0,2,3,1,1,2,4,5,4,1,4,3,4,5,14,0,0,1,0
starwars,67,43,53,38,90,42,41,48,64,33,47,45,42,50,83,52,50,45,65,43,44,63,58,59,66,76,63,99,84,39,33,32,0,0,0,71,77,64,81,107,149,163,132,61,37,36,48,54,59,36,71,67,69
backflipmadness,4,6,4,6,5,6,5,5,5,4,6,8,6,6,7,10,4,6,9,6,5,6,5,5,4,4,5,5,3,6,5,4,0,0,0,2,3,4,4,4,6,4,4,3,3,3,2,1,1,2,3,2,5
lifeline2,0,1,0,0,0,1,2,0,0,1,1,0,0,1,1,0,1,1,2,3,3,0,1,0,0,1,1,0,1,2,0,0,0,0,0,5,7,10,11,21,3,0,1,2,3,1,1,2,0,1,0,1,2
zenge,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,1,4,0,0,12,19,22,26,118,11,0,1,0,0,0,0,0,0
papasfreezeriatogo!,2,5,3,3,4,4,5,3,4,5,4,4,5,4,4,4,4,7,6,8,6,6,5,4,5,7,5,5,6,7,6,4,0,0,0,4,4,5,5,5,6,6,4,3,5,5,4,4,5,5,6,7,4
octagon,28,1,2,3,3,1,16,25,0,5,2,3,6,0,2,38,5,2,4,0,1,1,5,2,0,37,1,1,3,4,12,1,0,0,0,2,0,0,1,0,40,5,1,2,0,0,1,7,4,0,3,4,6
fivenightsatfreddys3,1,0,1,2,2,1,0,0,1,0,0,1,0,0,0,1,2,1,1,1,2,3,1,1,1,0,1,2,2,2,2,2,0,0,0,1,2,2,2,5,3,2,1,1,1,2,4,2,1,2,1,2,1
pawpatrolpupstotherescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
themorontest2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crashlands,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,2,4,2,2,2,2,3,0,3,2,3,10,11,0,0
nbajambyeasports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thebardstale,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
civilizationrevolution2,1,1,0,0,0,2,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,3,0,1,0,1,2,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,2,0,1
ridiculousfishing,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0
rustylakehotel,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,1,1,0,1,2,2,2,1,1,1,2,5,4,2,2,2,0
legobatman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chess,31,15,32,32,34,34,53,49,72,33,25,101,57,69,65,46,30,35,20,29,31,30,43,25,34,25,37,43,65,20,40,41,0,0,0,21,23,33,19,25,39,32,29,40,51,33,30,26,36,42,63,64,22
fruitninja,2,4,7,4,5,8,6,1,5,7,3,5,5,4,6,9,2,8,5,3,3,4,8,5,5,10,6,6,5,10,8,7,0,0,0,5,4,2,6,8,3,5,5,2,9,4,9,7,5,6,2,5,6
letscreate!pottery,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1
oddworld,3,0,0,0,0,1,0,7,5,8,6,2,11,10,26,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,3,1,2,0,0,2,0,1,0,1,0,1,0
tickettoride,1,1,0,0,2,0,3,3,0,3,0,2,0,3,2,1,1,0,0,2,0,1,2,1,0,3,1,1,1,4,6,0,0,0,0,1,5,1,2,0,2,1,6,2,1,2,32,23,1,1,0,0,0
pocketgod,3,3,5,41,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,1,2,0,0,0,1,1
sumotoridreams,2,2,2,2,1,2,2,2,0,2,2,2,2,2,3,3,2,2,4,3,3,3,1,2,2,3,3,4,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,2,2,2
theamazingspider-man2,0,1,4,0,0,3,6,0,2,1,1,2,1,0,0,1,0,0,1,3,1,0,2,9,1,0,2,2,1,1,0,0,0,0,0,1,2,2,2,1,2,0,0,0,3,1,1,0,1,1,0,1,0
romancingsaga2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0
gta,17,12,13,11,15,24,19,31,22,10,14,20,23,8,13,18,16,11,12,18,15,25,35,12,17,35,22,23,122,220,115,0,0,0,128,259,223,250,264,289,255,276,268,240,261,246,271,263,150,24,24,26,22
wwe2k,0,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,2,1,3,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0,0,1
scribblenautsunlimited,0,0,0,0,3,2,2,3,4,2,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,1,3,2,1,0,0,1,0,0,2,1
jeopardy!,1,1,5,0,0,1,1,17,2,1,0,2,4,1,0,1,0,0,0,4,3,1,1,1,0,2,0,4,1,0,0,1,0,0,0,1,1,0,0,3,4,35,78,2,0,1,0,0,3,7,1,1,4
needforspeedmostwanted,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0
dayrpremium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandtheftautoiii,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,2,3,2,3,4,4,1,4,1,4,3,3,4,6
skip-bo,1,1,1,0,1,1,2,3,2,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,1,2,1,0,0,0,1,2,1,2,3,2,1,0,0,0,1,1,1,0,1,3,1,0
carcassonne,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,1,3,4,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,1,3,1,0,0
grimlegends2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,1,1,2,2,2,3
thiswarofmine,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,1,3,4,14,6,11,19,15,16
chronotrigger,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0
harvestmoonseeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rebuild3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,7,1,1,0,0,0,0,0,0,0,0
triviacrack,2,1,1,7,2,2,1,2,5,0,3,3,1,2,1,1,4,2,3,2,1,1,6,1,1,2,3,5,13,2,3,6,0,0,0,4,1,3,2,3,3,2,6,2,3,1,2,3,3,4,4,2,2
thelegomovievideogame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finalfantasytactics,0,2,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,2,3,2,3,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,2,2,0,1,0,0
mytown,25,17,40,33,22,35,29,38,60,40,53,41,33,30,28,37,38,50,46,29,31,26,33,24,37,38,50,54,61,53,28,0,0,0,15,54,43,53,58,46,41,53,34,43,57,46,61,72,111,125,114,132,98
papascupcakeriatogo!,0,0,1,1,2,1,1,1,1,1,2,0,1,2,2,2,1,2,2,3,1,1,2,1,2,1,2,2,2,2,2,4,0,0,0,2,1,2,4,0,1,3,1,2,3,1,2,1,1,1,1,1,1
earntodie,3,5,3,4,5,4,3,2,5,4,2,3,5,5,3,5,4,3,2,6,5,2,4,4,5,3,2,2,2,3,3,2,0,0,0,4,2,1,2,4,3,2,3,3,3,3,5,4,6,3,4,6,2
endspacevrforcardboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grimlegends,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,2,0,0,1,1,2,2,2,3
mechcom2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sonicthehedgehog2,2,2,2,3,2,1,4,3,4,2,3,6,4,5,7,9,10,5,3,3,2,3,3,1,4,4,5,2,3,5,4,4,0,0,0,0,1,2,4,1,2,3,5,6,4,4,3,5,6,4,5,3,5
wheresmywater,0,0,0,0,1,0,2,0,0,0,0,1,3,1,2,2,2,1,1,1,1,1,1,1,3,1,1,5,3,3,1,7,0,0,0,1,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
trucksimulatorpro2016,0,1,0,0,1,2,2,2,2,2,2,1,2,1,1,3,3,2,4,1,2,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
attackthelight,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
downwell,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,25,0,0,0,3,1,0,3,2,0,0,1,2,10,1,0,3,0,1,0,0,0
dragonquest,6,9,5,7,29,43,10,9,7,11,6,3,6,5,8,10,10,14,15,11,6,6,11,14,15,13,17,12,9,9,8,7,0,0,0,5,10,14,15,12,11,10,10,12,13,9,15,16,22,9,12,11,8
theimpossiblegame,0,1,0,3,0,1,0,0,1,7,1,0,0,2,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,1,1,0,0
youmustbuildaboat,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
thebannersaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,6,2,0,0,3,3,0,0,0,0,0
recklessracing3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dudeperfect,1,1,1,1,1,0,2,2,0,0,0,0,3,1,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
vectorfull,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pewdiepie,7,10,62,8,3,11,11,20,13,16,12,22,14,14,15,17,13,11,17,16,24,31,44,77,145,33,49,117,89,46,42,57,0,0,0,25,19,33,47,16,13,16,20,18,16,20,22,60,39,33,38,32,16
dreammachine,2,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,2,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,1,0,0,1,1,1
blacksmithstory-pixelgame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survivalcraft,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0
leagueoflight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
epicwartd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1
finalfantasyixforandroid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
baldursgateiienhanceded.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
