,Aug 09,Aug 08,Aug 07,Aug 06,Aug 05,Aug 04,Aug 03,Aug 02,Aug 01,Jul 31,Jul 30,Jul 29,Jul 28,Jul 27,Jul 26,Jul 25,Jul 24,Jul 23,Jul 22,Jul 21,Jul 20,Jul 19,Jul 18,Jul 17,Jul 16,Jul 15,Jul 14,Jul 13,Jul 12,Jul 11,Jul 10,Jul 09,Jul 08,Jul 07,Jul 06,Jul 05,Jul 04,Jul 03,Jul 02,Jul 01,Jun 30,Jun 29,Jun 28,Jun 27,Jun 26,Jun 25,Jun 24,Jun 23,Jun 22,Jun 21,Jun 20,Jun 19,Jun 18
thomaswasalone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,2,0,19,0,0,0,0,0
frozensynapseprime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jazzasartygames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
heroesofloot2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,2,0,2
doodlegod,0,0,0,1,0,1,0,3,3,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
oddworld,3,0,0,0,0,1,0,7,5,8,6,2,11,10,26,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,3,1,2,0,0,2,0,1,0,1,0,1,0
skisafari,2,3,3,2,1,2,1,1,1,2,4,3,4,4,4,7,4,2,5,5,4,5,3,3,4,7,1,2,3,1,4,0,0,0,0,5,3,4,8,3,1,2,2,5,6,4,2,2,6,5,2,0,1
mytown,25,17,40,33,22,35,29,38,60,40,53,41,33,30,28,37,38,50,46,29,31,26,33,24,37,38,50,54,61,53,28,0,0,0,15,54,43,53,58,46,41,53,34,43,57,46,61,72,111,125,114,132,98
cuttherope,0,3,2,2,5,1,2,4,1,0,0,5,4,2,4,4,3,0,2,2,1,2,1,1,0,5,7,9,5,2,3,0,0,0,0,3,0,2,2,2,1,4,2,4,3,0,2,1,0,2,5,2,0
monsterfantasy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
blockfortress,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
sand!premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishtycoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordfeud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
athletics2,11,12,9,5,4,4,5,2,4,1,0,1,1,0,1,2,3,1,2,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
repulze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
papaswingeriahd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heyduggee,0,0,2,1,0,0,1,0,3,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,6,1,1,1,0,0,1,0,0,0,0,3,1,0,2,0,0,0
dragonquestv,2,1,1,2,1,2,2,2,1,2,2,1,1,0,0,1,2,2,2,2,1,1,2,2,3,1,2,1,1,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
