,Author,Date,body
91,daphney p,2016-08-09,obesssed    
92,ivory chenault,2016-08-09,i m glad i download this
93,kamauri rucker,2016-08-09,oh my god loved it soo cool                                        
94,,2016-08-09,amaze
95,cee p,2016-08-09,i love it
96,erica arcilla,2016-08-09,this game be awesome  kendall and kylie look exactly the same! also i like their dress and makeups  i love this game 
97,,2016-08-09,why do it need wifi? can we just play this game without used wifi??? please fix and i will rate this game 5 stars 
98,joan liew,2016-08-09,have improve but occasionally force shut 
99,shanta ruffin,2016-08-09,it be so cool
100,,2016-08-09,l
101,kristina jackson,2016-08-09,game be fun but it keep make me re do event ive allready completed  i cant finish anything because they keep re earing
102,keyawanna jackson,2016-08-09,i love this game word of advice download it its a cool ass game no lie
103,rica marie,2016-08-09,i start on a job and i come back to finish it but have to re do it over we pay money for what? y all treat the customer like sh t this very annoying
104,palvinder sandhu,2016-08-09,really awesome game
105,,2016-08-09,fun
106,jj maria,2016-08-09,the presentation be really good
107,,2016-08-09,fun game
108,,2016-08-09,i love how they send you video
109,paulita  perez,2016-08-09,yess
110,kishma buchanan,2016-08-09,i love it
111,makayla donaldson,2016-08-09,this game is super fun! i love the fact that this has the little instagramselfie part to the game! it makes it pop out! i recommend this game to any teen or child who loves the kim kardashian game as well  rate 5         
112,itzz diana,2016-08-09,it s nothing with the problem!
113,alondra romo,2016-08-09,it be a very good game
114,julia green,2016-08-09,i love the graphic
115,kevaun scott,2016-08-09,alsome
116,boricuanfam 11,2016-08-09,i love u kylie
117,jade adame,2016-08-09,i love this game first off  my question be what s up with corsican event? i try have a date there nothing  so what else ahould i be doing?
118,dean round,2016-08-09,still don t have gift box krew chat or event challenge even after both new updates  not as fun to play anymore 
119,meera zack,2016-08-09,i love the game
